s,lane_x,lane_y,veh_x,veh_y,deviation,lane_seg_idx,veh_seg_idx
0.0,202.1150596,528.2252548,207.8121603,537.1752334,10.609386095641845,0,0
0.25,202.2513930596037,528.4348095369842,207.94858996889226,537.3847255130877,10.609384930452844,0,0
0.5,202.38772651920746,528.6443642739682,208.08501963778457,537.5942176261754,10.609383766505916,0,0
0.75,202.52405997881118,528.8539190109524,208.22144930667685,537.803709739263,10.609382603800869,0,0
1.0,202.6603934384149,529.0634737479364,208.35787897556912,538.0132018523508,10.609381442337995,0,0
1.25,202.79672689801862,529.2730284849206,208.49429820002743,538.2227007664619,10.60938041020603,0,1
1.5,202.93306035762237,529.4825832219046,208.6307050242829,538.43220775512,10.609379531011935,0,1
1.75,203.06939381722609,529.6921379588888,208.76711184853832,538.6417147437779,10.609378652539792,0,1
2.0,203.2057272768298,529.9016926958728,208.90351867279378,538.851221732436,10.609377774790001,0,1
2.25,203.34206073643352,530.111247432857,209.0399254970492,539.0607287210939,10.609376897762147,0,1
2.5,203.47839419603727,530.3208021698412,209.17624994843428,539.2702893162942,10.609377001485633,0,2
2.75,203.614727655641,530.5303569068252,209.31256677680867,539.4798548723905,10.609377195969941,0,2
3.0,203.7510611152447,530.7399116438094,209.44888360518306,539.6894204284868,10.60937739049116,0,2
3.25,203.88739457484843,530.9494663807934,209.58520043355745,539.8989859845831,10.60937758504967,0,2
3.5,204.02372803445218,531.1590211177776,209.7215730904963,540.1085151974311,10.609377105393111,0,3
3.75,204.1600614940559,531.3685758547616,209.85803887852455,540.3179837838536,10.609375502601972,0,3
4.0,204.29639495365961,531.5781305917458,209.9945046665528,540.527452370276,10.609373902160467,0,3
4.25,204.43272841326333,531.7876853287298,210.13097045458107,540.7369209566984,10.609372304068883,0,3
4.5,204.56906187286708,531.997240065714,210.26743624260934,540.946389543121,10.609370708327107,0,3
4.75,204.7053953324708,532.2067948026981,210.40390966030006,541.1558531586904,10.609369020042182,0,4
5.0,204.84172879207452,532.4163495396822,210.54038458481494,541.3653157925387,10.609367315674325,0,4
5.25,204.97806225167824,532.6259042766663,210.67685950932983,541.574778426387,10.609365613991963,0,4
5.5,205.114395711282,532.8354590136504,210.81333443384472,541.7842410602352,10.609363914995273,0,4
5.75,205.2507291708857,533.0450137506346,210.94978337851597,541.9937206134301,10.609362533995759,0,5
6.0,205.38706263048942,533.2545684876186,211.08617039157562,542.2032404995236,10.609361905841729,0,5
6.25,205.52339609009314,533.4641232246028,211.2225574046353,542.4127603856173,10.609361278072482,0,5
6.5,205.6597295496969,533.6736779615868,211.35894441769494,542.6222802717108,10.609360650687977,0,5
6.75,205.7960630093006,533.883232698571,211.4953314307546,542.8318001578044,10.609360023688257,0,5
7.0,205.93239646890433,534.0927874355551,211.6315926546454,543.041401855231,10.60936082879628,0,6
7.25,206.06872992850805,534.3023421725392,211.76781309778943,543.2510300758256,10.609362099618025,0,6
7.5,206.2050633881118,534.5118969095233,211.90403354093348,543.4606582964201,10.609363372152306,0,6
7.75,206.34139684771552,534.7214516465074,212.0402539840775,543.6702865170147,10.609364646399502,0,6
8.0,206.47773030731923,534.9310063834915,212.17654357037463,543.879869731214,10.6093650999193,0,7
8.25,206.61406376692295,535.1405611204756,212.3130870497285,544.0892876823211,10.60936253771355,0,7
8.5,206.7503972265267,535.3501158574597,212.44963052908236,544.2987056334284,10.609359981428225,0,7
8.75,206.88673068613042,535.5596705944438,212.58617400843622,544.5081235845356,10.609357431063364,0,7
9.0,207.02306414573414,535.769225331428,212.72271748779008,544.7175415356428,10.609354886618858,0,7
9.25,207.15939760533786,535.9787800684121,212.85975412603943,544.9266367144983,10.6093450797876,0,8
9.5,207.2957310649416,536.1883348053962,212.99702636001078,545.1355776960709,10.609331901034444,0,8
9.75,207.43206452454532,536.3978895423803,213.13429859398215,545.3445186776434,10.609318840839101,0,8
10.0,207.56839798414904,536.6074442793644,213.2715708279535,545.553459659216,10.609305899202345,0,8
10.25,207.70473144375276,536.8169990163485,213.40883806310768,545.7624039243849,10.6092931571189,0,9
10.5,207.8410649033565,537.0265537533326,213.54607648878974,545.971367113766,10.609280995567746,0,9
10.75,207.97739836296023,537.2361084903167,213.68331491447177,546.180330303147,10.609268944179059,0,9
11.0,208.11373182256395,537.4456632273008,213.82055334015382,546.3892934925282,10.609257002953518,0,9
11.25,208.25006528216767,537.6552179642849,213.95779176583585,546.5982566819092,10.609245171891084,0,9
11.5,208.38639874177142,537.864772701269,214.0952407037543,546.8070813697211,10.609229984724202,0,10
11.75,208.52273220137513,538.0743274382531,214.2328196836379,547.0158204994841,10.609212846348948,0,10
12.0,208.65906566097885,538.2838821752373,214.37039866352148,547.224559629247,10.609195916871824,0,10
12.25,208.79539912058257,538.4934369122213,214.50797764340507,547.43329875901,10.609179196294118,0,10
12.5,208.93173258018632,538.7029916492055,214.64555270475765,547.6420404708751,10.609162749819127,0,11
12.75,209.06806603979004,538.9125463861895,214.7830883676063,547.8508081442462,10.609147160020777,0,11
13.0,209.20439949939376,539.1221011231737,214.92062403045492,548.0595758176174,10.609131764820685,0,11
13.25,209.34073295899748,539.3316558601578,215.05815969330357,548.2683434909885,10.609116564219732,0,11
13.5,209.47706641860123,539.5412105971419,215.19569535615219,548.4771111643596,10.609101558218613,0,11
13.75,209.61339987820494,539.750765334126,215.333311258945,548.6858259365821,10.609085454132387,0,12
14.0,209.74973333780866,539.9603200711101,215.47098931289187,548.8944997333592,10.609068581631986,0,12
14.25,209.8860667974124,540.1698748080943,215.60866736683877,549.1031735301364,10.609051952669363,0,12
14.5,210.02240025701613,540.3794295450783,215.74634542078567,549.3118473269135,10.609035567245774,0,12
14.75,210.15873371661985,540.5889842820625,215.88401216990584,549.5205285714458,10.609019594706949,0,13
15.0,210.29506717622357,540.7985390190465,216.02140953248414,549.7293872910543,10.60900785364627,0,13
15.25,210.43140063582732,541.0080937560307,216.15880689506244,549.9382460106629,10.60899626492712,0,13
15.5,210.56773409543104,541.2176484930147,216.2962042576407,550.1471047302715,10.6089848285503,0,13
15.75,210.70406755503475,541.4272032299989,216.433601620219,550.35596344988,10.608973544515933,0,13
16.0,210.84040101463847,541.6367579669829,216.57102074985303,550.5648078469401,10.608962117409664,0,14
16.25,210.97673447424222,541.8463127039671,216.70845998953013,550.7736390117527,10.608950579029182,0,14
16.5,211.11306793384594,542.0558674409513,216.84589922920722,550.9824701765652,10.60893920524313,0,14
16.75,211.24940139344966,542.2654221779353,216.98333846888434,551.1913013413779,10.608927996052321,0,14
17.0,211.38573485305338,542.4749769149195,217.1207784469886,551.400132019876,10.608916941510499,0,15
17.25,211.52206831265713,542.6845316519035,217.25834756605607,551.6088776485224,10.608904332698177,0,15
17.5,211.65840177226085,542.8940863888877,217.39591668512352,551.8176232771689,10.608891929501263,0,15
17.75,211.79473523186456,543.1036411258717,217.533485804191,552.0263689058153,10.608879731920497,0,15
18.0,211.93106869146828,543.3131958628559,217.67105492325848,552.2351145344617,10.608867739956471,0,15
18.25,212.06740215107203,543.5227505998399,217.80879090626232,552.4437500029795,10.608853622755035,0,16
18.5,212.20373561067575,543.7323053368241,217.94669493645014,552.652274530213,10.608837458859819,0,16
18.75,212.34006907027947,543.9418600738082,218.08459896663794,552.8607990574466,10.608821627495663,0,16
19.0,212.4764025298832,544.1514148107923,218.22250299682577,553.0693235846801,10.608806128664186,0,16
19.25,212.61273598948694,544.3609695477764,218.3604069311757,553.2778481752019,10.608790963638171,0,17
19.5,212.74906944909065,544.5705242847605,218.49803111241323,553.4865575059437,10.608779788816177,0,17
19.75,212.88540290869437,544.7800790217447,218.63565529365076,553.6952668366855,10.608768838388665,0,17
20.0,213.0217363682981,544.9896337587287,218.77327947488828,553.9039761674273,10.608758112356426,0,17
20.25,213.15806982790184,545.1991884957129,218.91090365612584,554.1126854981692,10.60874761071995,0,17
20.5,213.29440328750556,545.4087432326969,219.0483463382128,554.3215142890868,10.608739252823803,0,18
20.75,213.43073674710928,545.6182979696811,219.18561516380942,554.5304575098893,10.608732877263218,0,18
21.0,213.567070206713,545.8278527066652,219.32288398940602,554.7394007306918,10.608726619419112,0,18
21.25,213.70340366631675,546.0374074436493,219.46015281500263,554.9483439514944,10.608720479291678,0,18
21.5,213.83973712592046,546.2469621806334,219.59741781808222,555.1572896817402,10.608714489978098,0,19
21.75,213.97607058552418,546.4565169176175,219.73454724601058,555.3663244156866,10.608709775557754,0,19
22.0,214.1124040451279,546.6660716546016,219.8716766739389,555.5753591496331,10.608705146345388,0,19
22.25,214.24873750473165,546.8756263915857,220.00880610186726,555.7843938835795,10.60870060234113,0,19
22.5,214.38507096433537,547.0851811285698,220.14593552979562,555.9934286175259,10.608696143545012,0,19
22.75,214.5214044239391,547.2947358655539,220.28310717116165,556.20243564788,10.608691434828508,0,20
