x,y
202.1150596,528.2252548
217.2867971,551.5453515
222.3264398,559.2178518
225.7409022,564.4011052
227.5573255,567.3717714
229.322486,570.4011751
231.3981015,574.4928716
234.7277435,581.6491689
235.4920155,583.5077765
236.8397467,587.3519012
238.3371641,592.0682307
238.999237,594.5324112
240.0332883,599.0139655
240.9734118,604.160586
241.2638976,606.2222995
241.5586151,608.960063
241.7573938,610.8625667
241.9214441,613.1032209
242.0771501,617.2239842
242.1081044,621.9373597
242.0844708,624.7579824
242.0039576,626.3916665
241.8385017,629.235811
241.4670888,633.3051623
241.2374213,635.6152783
239.5675603,648.3314996
237.5114513,662.8501774
236.1370297,672.5552975
234.8844616,681.1202906
233.668822,689.4327689
232.9178525,694.567858
231.5021351,703.7715601
230.7219415,708.8436662
230.315994,711.4827664
229.2933655,717.1796193
228.2371171,722.5251948
226.8756584,729.4152868
225.7099359,734.0048237
224.6467998,737.5914514
224.1288785,739.1143014
223.4757825,741.0346068
222.8575941,742.5979002
222.4685817,743.5816465
220.9323057,746.7709148
219.737795,748.970042
219.3706097,749.5257038
218.650308,750.6157372
217.2291702,752.6871741
215.9691496,754.3388155
215.2244624,755.2341762
212.6731634,758.1065411
210.1675426,760.5423301
208.1222887,762.4198309
202.5309788,767.2712295
177.3571956,789.2472011
170.977287,794.8166737
167.3467557,797.8406569
165.293768,799.2165581
164.3744482,799.731069
164.152671,799.8354849
162.8475853,800.4499383
159.7386672,801.3908596
157.9665089,801.8611647
156.8925417,802.0679408
156.1232778,802.1478653
154.4414855,802.2087411
153.0742839,802.159821
151.8204216,801.9812108
150.8447747,801.7718297
148.6902328,801.130602
147.8075236,800.7569277
147.0845338,800.3616437
144.4188601,798.6630176
143.1376355,797.6812527
140.8487608,795.4108094
138.4464144,792.8175704
135.4861971,789.507882
132.1416676,785.664137
128.6366068,781.6143879
125.4296601,777.9660701
117.74468,769.3855245
106.633514,756.9750756
96.65045233,745.8143969
